uni,courses
,
,
Erasmus University Rotterdam,12
ESADE Business and Law School,2
ESSEC Business School,18
,
Fudan University,6
,
Hebrew University of Jerusalem,7
,
High Tech High Graduate School of Education,3
,
Icahn School of Medicine at Mount Sinai,6
IE Business School,13
,
,
Indian School of Business,4
Insper,4
Institut Mines-TÃ©lÃ©com,3
Instituto TecnolÃ_gico de AeronÃ¡utica,9
Johns Hopkins University,37
KoÃ§ University,6
Korea Advanced Institute of Science and Technology,7
Ludwig-Maximilians-UniversitÃ_t MÃ_nchen (LMU),7
,
Technical University of Denmark (DTU),10
,
Technische UniversitÃ_t MÃ_nchen (TUM),1